660.62,1301.17,1783.02,2754.59,3441.76,3682.47,4134.25,2348.58,399.91,0.00,0.00,0.00,0.00
731.07,1500.96,2303.13,3178.77,3740.94,3594.36,4232.52,3018.73,2537.52,427.00,0.00,0.00,0.00
765.36,1737.85,2884.11,3450.82,3981.75,3624.56,3770.84,2989.17,2874.32,2338.62,369.66,0.00,0.00
788.05,1759.19,3118.07,3488.55,4257.63,3639.52,3656.93,2977.30,2926.48,2844.12,1729.44,84.37,0.00
782.79,1774.70,3083.32,3537.10,4149.82,3796.38,3805.23,2912.61,3059.28,3014.04,2247.69,771.88,0.00
716.83,1717.16,3171.24,3496.84,4209.38,3696.59,3772.87,2967.08,3105.44,3172.05,2436.48,1034.98,33.61
696.13,1762.39,3150.24,3539.94,4098.25,3541.96,3551.10,2967.56,3197.95,3185.33,2442.58,1010.72,95.62
784.77,2066.66,3841.47,4002.78,4899.50,3695.60,3795.96,3074.22,3066.70,2558.55,1640.98,660.27,75.38
735.01,1791.05,3547.46,3646.68,4327.78,3288.35,3451.02,2744.30,2711.26,2297.38,1405.75,521.63,59.44
538.31,1445.65,2927.43,2907.50,3351.06,2490.63,2354.54,1989.50,2019.91,1575.99,1028.45,337.79,30.29
369.09,848.16,1583.04,1562.03,1873.25,1623.96,1488.74,1158.11,1074.87,800.06,492.42,199.49,23.78
193.93,454.25,732.94,966.31,1120.14,239.34,1157.22,756.33,585.37,430.70,213.64,99.07,15.82
92.50,201.09,358.77,475.77,566.00,611.63,598.64,408.02,316.46,210.76,132.54,64.80,10.60
28.25,66.47,98.31,126.07,147.28,163.85,165.08,110.53,92.00,75.21,43.25,26.43,3.77
